Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000a780001538e0  31999      1 ------ \Device\DeviceApi\CMApi
0x0000a78000154310     13      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\winhttp.dll
0x0000a780001546d0      3      0 R--r-d \Device\HarddiskVolume3\Users\CTF\AppData\Local\Microsoft\OneDrive\18.111.0603.0006\Qt5Widgets.dll
0x0000a78000154860      5      0 R--r-d \Device\HarddiskVolume3\Windows\SysWOW64\wer.dll
0x0000a78000155cd0  32767      1 ------ \Device\DeviceApi\CMNotify
0x0000a78000157b00     11      0 R--r-d \Device\HarddiskVolume3\Windows\System32\twinui.pcshell.dll
0x0000a7800015ab50  32767      1 ------ \Device\DeviceApiᳰ誼펉￿따诎
0x0000a7800015b3f0  32768      1 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\crypt32.dll.mui
0x0000a7800015bef0      8      0 R--r-d \Device\HarddiskVolume3\Windows\System32\Windows.CloudStore.Schema.Shell.dll
0x0000a7800015e9b0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\imageres.dll.mui
0x0000a78000160610      4      0 R--r-d \Device\HarddiskVolume3\Windows\System32\coloradapterclient.dll
0x0000a78000161ef0     15      0 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\batmeter.dll.mui
0x0000a78000165ae0     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\NetworkStatus.dll
0x0000a78000167ef0     16      0 R--rwd \Device\HarddiskVolume3ā̄敓瑁刮炒Ṕᕒ
0x0000a78000168ae0     16      0 R--r-d \Device\HarddiskVolume3\Windows\WindowsShell.Manifest
0x0000a78000169ef0      3      0 R--r-d \Device\HarddiskVolume3\Windows\System32\dssenh.dll
0x0000a7800016c9f0     10      0 R--r-d \Device\HarddiskVolume3\Windows\System32\StructuredQuery.dll
0x0000a7800016f080     13      0 RWD--- \Device\HarddiskVolume3\ProgramData\Microsoft\Network\Downloader\qmgr.db
0x0000a7800017dae0      5      0 R--rwd \Device\HarddiskVolume3\Windows\System32\Windows.Media.Audio.dll
0x0000a78000183c70     12      0 R--r-- \Device\HarddiskVolume3\Users\CTF\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000002.db
0x0000a78000184490  32768      1 R--rw- \Device\HarddiskVolume3\Windows
0x0000a78000198ef0      4      0 R--r-d \Device\HarddiskVolume3\Windows\System32\ContentDeliveryManager.Utilities.dll
0x0000a7800019bb30     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\rtutils.dll
0x0000a7800019dd80      1      1 ------ \Device\DeviceApi\CMApi
0x0000a7800019fc80  32768      1 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\Conhost.exe.mui
0x0000a780001a08b0     16      0 R--r-d \Device\HarddiskVolume3\Windows\System32\Wpc.dll
0x0000a780001a1cd0      6      0 R--r-d \Device\HarddiskVolume3\Windows\System32\rasplap.dll
0x0000a780001a81d0  32768      1 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\crypt32.dll.mui
0x0000a780001aa780  32768      1 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\mswsock.dll.mui
0x0000a780001aaef0  32764      1 R--rw- \Device\HarddiskVolume3\Windows\System32
0x0000a780001ab080      1      0 RW-rwd \Device\HarddiskVolume3\$Directory
0x0000a780001ad7a0     11      0 R--r-d \Device\HarddiskVolume3\Windows\System32\SgrmEnclave.dll
0x0000a780001b2080     10      0 R--r-d \Device\HarddiskVolume3\Windows\System32\MSWB7.dll
0x0000a780001b3820     16      0 R--r-- \Device\HarddiskVolume3܎ŀ
0x0000a780001b3a50      1      1 R--rw- \Device\HarddiskVolume3\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.17134.191_none_2c2987968afb7f11
0x0000a780001b5bf0  32768      1 R--r-d \Device\HarddiskVolume3\Windows\System32\en-US\svchost.exe.mui
0x0000a780001b6ef0     13      0 R--r-d \Device\HarddiskVolume3\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.25426.0_x64__8wekyb3d8bbwe\vcomp140_app.dll
0x0000a780001b7d80      9      0 R--r-d \Device\HarddiskVolume3\Windows\System32\prm0009.dll
0x0000a780001b9df0     15      0 R--r-d \Device\HarddiskVolume3\Windows\System32\Windows.ApplicationModel.Background.SystemEventsBroker.dll
0x0000a780001ba120     14      0 R--r-d \Device\HarddiskVolume3\Windows\System32\msinfo32.exe
0x0000a780001be610     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\DevDispItemProvider.dll
0x0000a780001c45b0     13      0 R--r-d \Device\HarddiskVolume3\Windows\System32\ieframe.dll
