Virtual            Physical           Name
------------------ ------------------ ----
0xffffd38986bc4000 0x000000010a102000 \SystemRoot\System32\Config\SAM
0xffffd38986cd0000 0x000000010c9b3000 \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT
0xffffd38986dc6000 0x000000010fc29000 \SystemRoot\System32\Config\BBI
0xffffd38986dea000 0x000000011237c000 \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT
0xffffd38987c56000 0x00000001382e6000 \??\C:\Windows\AppCompat\Programs\Amcache.hve
0xffffd389873c1000 0x000000001e264000 \??\C:\Users\CTF\ntuser.dat
0xffffd389873fb000 0x0000000033919000 \??\C:\Users\CTF\AppData\Local\Microsoft\Windows\UsrClass.dat
0xffffd389892e2000 0x00000000a723c000 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.ShellExperienceHost_10.0.17134.112_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0xffffd389893e4000 0x00000000aaf63000 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Cortana_1.10.7.17134_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat
0xffffd38989490000 0x00000000a59dd000 \??\C:\Users\CTF\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat
0xffffd389894a0000 0x00000000a58f2000 \??\C:\Users\CTF\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat
0xffffd3898a6e6000 0x00000000810f0000 \??\C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat
0xffffd3898c555000 0x000000003f151000 \??\C:\Users\CTF\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat
0xffffd3898ca19000 0x000000001db6e000 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.MicrosoftOfficeHub_17.10314.31700.0_x64__8wekyb3d8bbwe\ActivationStore.dat
0xffffd3898e2c7000 0x0000000098b80000 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.SkypeApp_12.1815.210.0_x64__kzf8qxf38zg5c\ActivationStore.dat
0xffffd3898e336000 0x000000003e501000 \??\C:\Users\CTF\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\Settings\settings.dat
0xffffd38986a96000 0x0000000109aef000 \SystemRoot\System32\Config\DEFAULT
0xffffd38986bba000 0x0000000103ef2000 \SystemRoot\System32\Config\SECURITY
0xffffd38985466000 0x0000000001f23000 \REGISTRY\MACHINE\HARDWARE
0xffffd38985e5a000 0x0000000103376000 \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD
0xffffd38985eb3000 0x0000000105738000 \SystemRoot\System32\Config\SOFTWARE
