Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x00000000001752a0      2      1 RW-rw- \Device\HarddiskVolume2\Users\Administrator\unicentaopos-database\seg0\c600.dat
0x0000000000175358      2      1 RW-rw- \Device\HarddiskVolume2\Users\Administrator\unicentaopos-database\seg0\c800.dat
0x0000000000175410      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\apphelp.dll
0x0000000000175b78      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tzres.dll
0x00000000001ad568      1      1 R--rw- \Device\HarddiskVolume2\Program Files\unicentaopos-3.91.2\lib\substance-swingx-7.2.1.jar
0x00000000004d1a00      6      0 R--rwd \Device\HarddiskVolume2\Windows\Fonts\OLDENGL.TTF
0x00000000004f0038      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\advpack.dll
0x00000000004f0260      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\bthprops.cpl
0x00000000004f09f0      7      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\ActionCenter.dll.mui
0x00000000004f0c68      8      0 R--rwd \Device\HarddiskVolume2\Program Files\Microsoft Office\Office15\MSOHEV.DLL
0x000000000057f0d8      7      0 R--rw- \Device\HarddiskVolume2\Windows\Fonts\msjhbd.ttf
0x00000000005a6038      2      1 RW-rw- \Device\HarddiskVolume2\Users\Administrator\unicentaopos-database\seg0\c180.dat
0x00000000005a6128      2      1 RW-rw- \Device\HarddiskVolume2\Users\Administrator\unicentaopos-database\seg0\c191.dat
0x00000000005a63b0      6      0 R--rwd \Device\HarddiskVolume2\Windows\Fonts\BOD_CB.TTF
0x00000000005a6b08      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x00000000005a6ec8      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\msimg32.dll
0x0000000000adfe28      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchFilterHost.exe
0x00000000010172d0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DeviceCenter.dll
0x0000000001017490      2      1 RW-rw- \Device\HarddiskVolume2\Users\Administrator\unicentaopos-database\seg0\c811.dat
0x00000000012f4458      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4926_none_508ed732bcbc0e5a
0x00000000012f4620      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4926_none_508ed732bcbc0e5a
0x00000000012f4e28      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\oleaut32.dll
0x00000000012f4f80      2      1 R--rw- \Device\HarddiskVolume2\Program Files\unicentaopos-3.91.2\lib\jcommon-1.0.17.jar
0x00000000013f5110      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4926_none_508ed732bcbc0e5a
0x00000000013f5980      1      1 R--rw- \Device\HarddiskVolume2\Program Files\unicentaopos-3.91.2\lib\core-2.3.0.jar
0x000000000145a618      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000000145a8c0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msiltcfg.dll
