Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0x83e92b50:explorer.exe                             1836   3348     24    995 2015-10-09 05:25:15 UTC+0000
. 0x83d9b368:regsvr32.exe                            2928   1836      0 ------ 2015-10-09 05:25:18 UTC+0000
. 0x83f11958:OUTLOOK.EXE                             3376   1836     29   2185 2015-10-09 06:21:35 UTC+0000
. 0x84ae9668:notepad.exe                             2700   1836      4    261 2015-10-09 05:30:12 UTC+0000
. 0x8462c610:vmtoolsd.exe                            1200   1836      7    156 2015-10-09 05:25:35 UTC+0000
. 0x84627d40:jusched.exe                             2832   1836      2    119 2015-10-09 05:25:35 UTC+0000
. 0x83e55030:EXCEL.EXE                               2092   1836     11    386 2015-10-09 09:47:28 UTC+0000
 0x83d38bb0:System                                      4      0     93    534 2015-10-09 03:37:36 UTC+0000
. 0x84edc020:smss.exe                                 280      4      2     33 2015-10-09 03:37:38 UTC+0000
 0x85ad1608:explorer.exe                             2200   2084     20    849 2015-10-09 03:39:33 UTC+0000
. 0x846fd030:vmtoolsd.exe                            2444   2200      7    145 2015-10-09 03:39:38 UTC+0000
. 0x859afd10:WINWORD.EXE                             3740   2200     10    419 2015-10-09 05:21:27 UTC+0000
. 0x846fd920:jusched.exe                             2464   2200      5    361 2015-10-09 03:39:38 UTC+0000
. 0x85989030:chrome.exe                              1960   2200      0 ------ 2015-10-09 05:05:58 UTC+0000
 0x83f324d8:iexplore.exe                             3208   3324     11    214 2015-10-09 12:35:57 UTC+0000
. 0x855d86d0:iexplore.exe                            3136   3208      2     32 2015-10-09 12:35:57 UTC+0000
 0x85409030:csrss.exe                                 368    360      9    463 2015-10-09 03:37:42 UTC+0000
 0x83dd6458:wininit.exe                               432    360      3     79 2015-10-09 03:37:58 UTC+0000
. 0x858dcb20:services.exe                             528    432      6    204 2015-10-09 03:38:06 UTC+0000
.. 0x85a586a8:svchost.exe                             660    528     10    369 2015-10-09 03:38:54 UTC+0000
.. 0x9384fd40:SearchIndexer.                         2592    528     14    766 2015-10-09 03:39:44 UTC+0000
.. 0x85b61690:msdtc.exe                               388    528     12    147 2015-10-09 03:39:10 UTC+0000
.. 0x85a121d8:svchost.exe                             900    528     29   1308 2015-10-09 03:38:54 UTC+0000
... 0x83e83030:wuauclt.exe                            836    900      3     93 2015-10-09 07:00:27 UTC+0000
.. 0x85a8fb30:svchost.exe                            1828    528     12    357 2015-10-09 03:39:05 UTC+0000
.. 0x85a94330:svchost.exe                             860    528     17    461 2015-10-09 03:38:54 UTC+0000
... 0x83ee2030:dwm.exe                               4068    860      3     82 2015-10-09 05:25:15 UTC+0000
... 0x85809588:dwm.exe                               2156    860      3     70 2015-10-09 03:39:33 UTC+0000
.. 0x8586f420:vmtoolsd.exe                           1452    528      7    274 2015-10-09 03:38:57 UTC+0000
.. 0x85a9a560:svchost.exe                             824    528     18    476 2015-10-09 03:38:54 UTC+0000
.. 0x85a71030:svchost.exe                             736    528      7    323 2015-10-09 03:38:54 UTC+0000
.. 0x85b5cb80:taskhost.exe                           3528    528      8    175 2015-10-09 05:25:15 UTC+0000
.. 0x857ea030:spoolsv.exe                            1228    528     12    289 2015-10-09 03:38:55 UTC+0000
.. 0x85b1c4e0:taskhost.exe                            596    528      8    167 2015-10-09 03:39:32 UTC+0000
.. 0x83f2dd40:svchost.exe                            3544    528      9    145 2015-10-09 04:02:02 UTC+0000
.. 0x84e29308:svchost.exe                            1116    528     18    555 2015-10-09 03:38:54 UTC+0000
.. 0x85ae5258:svchost.exe                            1008    528     15    449 2015-10-09 03:38:54 UTC+0000
.. 0x85801608:svchost.exe                            1268    528     18    326 2015-10-09 03:38:55 UTC+0000
.. 0x85aca730:sppsvc.exe                             3068    528      4    152 2015-10-09 03:41:00 UTC+0000
. 0x858f6030:lsass.exe                                536    432      8    681 2015-10-09 03:38:06 UTC+0000
. 0x85906108:lsm.exe                                  552    432      9    184 2015-10-09 03:38:07 UTC+0000
 0x84dd5c10:winlogon.exe                              308   3292      3    114 2015-10-09 05:23:49 UTC+0000
 0x846f14c0:csrss.exe                                3064   3292     10    360 2015-10-09 05:23:48 UTC+0000
 0x84ac0738:javaw.exe                                3640   2052     21    631 2015-10-09 05:30:17 UTC+0000
 0x858b6d40:winlogon.exe                              480    412      3    109 2015-10-09 03:37:59 UTC+0000
 0x83dd4708:csrss.exe                                 424    412     10    226 2015-10-09 03:37:58 UTC+0000
 0x84e78630:javaw.exe                                4092   2352     21    610 2015-10-09 05:01:32 UTC+0000
