2015-10-09 12:53:02 UTC+0000|[LIVE RESPONSE]| (System time)|
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| explorer.exe->https://ieonline.microsoft.com/favicon.ico| PID: 2116/Cache type "URL " at 0x2126000 End: 2015-10-09 04:28:50 UTC+0000
2013-09-13 07:19:18 UTC+0000|[IEHISTORY]| explorer.exe->http://res1.windows.microsoft.com/resources/4.2/wol/shared/images/favicon.ico| PID: 2116/Cache type "URL " at 0x2126100 End: 2015-10-09 04:28:52 UTC+0000
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| explorer.exe->http://www.bing.com/favicon.ico| PID: 2116/Cache type "URL " at 0x2126300 End: 2015-10-09 04:28:53 UTC+0000
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| OUTLOOK.EXE->https://ieonline.microsoft.com/favicon.ico| PID: 3196/Cache type "URL " at 0x6e06000 End: 2015-10-09 04:28:50 UTC+0000
2013-09-13 07:19:18 UTC+0000|[IEHISTORY]| OUTLOOK.EXE->http://res1.windows.microsoft.com/resources/4.2/wol/shared/images/favicon.ico| PID: 3196/Cache type "URL " at 0x6e06100 End: 2015-10-09 04:28:52 UTC+0000
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| OUTLOOK.EXE->http://www.bing.com/favicon.ico| PID: 3196/Cache type "URL " at 0x6e06300 End: 2015-10-09 04:28:53 UTC+0000
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| TeamViewer.exe->https://ieonline.microsoft.com/favicon.ico| PID: 2680/Cache type "URL " at 0x3166000 End: 2015-10-09 04:28:50 UTC+0000
2013-09-13 07:19:18 UTC+0000|[IEHISTORY]| TeamViewer.exe->http://res1.windows.microsoft.com/resources/4.2/wol/shared/images/favicon.ico| PID: 2680/Cache type "URL " at 0x3166100 End: 2015-10-09 04:28:52 UTC+0000
2013-10-19 01:08:06 UTC+0000|[IEHISTORY]| TeamViewer.exe->http://www.bing.com/favicon.ico| PID: 2680/Cache type "URL " at 0x3166300 End: 2015-10-09 04:28:53 UTC+0000
2015-10-09 11:31:32 UTC+0000|[PROCESS]| OUTLOOK.EXE| PID: 3196/PPID: 2116/POffset: 0x3def3d40
2015-10-09 05:37:20 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| OUTLOOK.EXE PID: 3196/PPID: 2116/POffset: 0x3def3d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| OUTLOOK.EXE PID: 3196/PPID: 2116/POffset: 0x3def3d40
2015-10-09 11:30:48 UTC+0000|[Handle (Key)]| MACHINE| OUTLOOK.EXE PID: 3196/PPID: 2116/POffset: 0x3def3d40
