Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000003d806038      7      0 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000
0x000000003d8069c8      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\net.exe
0x000000003d806ec8      7      0 R--rwd \Device\HarddiskVolume2\Windows\System32\spp.dll
0x000000003d806f80      4      0 R--rwd \Device\HarddiskVolume2\Windows\System32\mlang.dll
0x000000003d81b038      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003d81bd10      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wsock32.dll
0x000000003d81bf80      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\eapphost.dll
0x000000003d832038      8      0 R--rwd \Device\HarddiskVolume2\Windows\System32\userenv.dll
0x000000003d832620      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sppuinotify.dll
0x000000003d832af8      8      0 R--r-- \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\prnca00x.inf_x86_neutral_4dacaa756f2a85fc\prnca00x.PNF
0x000000003d858038      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuapi.dll
0x000000003d858398      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\schedcli.dll
0x000000003d8587a0      8      0 R--rwd \Device\HarddiskVolume2\Users\gideon.ALLSAFECYBERSEC\Links\Downloads.lnk
0x000000003d8589d8      7      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\FELIXTI.TTF
0x000000003d85a168      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000003d86a260      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\clb.dll
0x000000003d86a870      8      0 R--r-- \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\prnep004.inf_x86_neutral_25623e649d146f5d\prnep004.PNF
