Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0x8621b998:explorer.exe                             3624   3428     25   1068 2015-10-09 05:29:07 UTC+0000
. 0x841ce638:cmd.exe                                 3488   3624      1     20 2015-10-09 11:40:49 UTC+0000
. 0x84090748:vmtoolsd.exe                            3892   3624      7    145 2015-10-09 05:29:27 UTC+0000
. 0x8410d718:OUTLOOK.EXE                             3412   3624     20   2114 2015-10-09 06:15:04 UTC+0000
. 0x83fe9940:cmd.exe                                  416   3624      1     20 2015-10-09 12:01:26 UTC+0000
. 0x8408b030:regsvr32.exe                             360   3624      0 ------ 2015-10-09 05:29:07 UTC+0000
.. 0x8586e030:wininit.exe                             428    360      3     79 2015-10-09 04:48:52 UTC+0000
... 0x8589e030:services.exe                           524    428      7    226 2015-10-09 04:48:52 UTC+0000
.... 0x85a6f400:vmtoolsd.exe                         1408    524      9    283 2015-10-09 04:48:58 UTC+0000
.... 0x85905998:svchost.exe                           644    524     10    359 2015-10-09 04:48:54 UTC+0000
.... 0x83f34508:svchost.exe                          2988    524      5    101 2015-10-09 06:34:38 UTC+0000
.... 0x8594ec88:svchost.exe                           860    524     18    454 2015-10-09 04:48:55 UTC+0000
..... 0x861bfd40:dwm.exe                             3192    860      3     83 2015-10-09 05:29:07 UTC+0000
.... 0x859414e8:svchost.exe                           824    524     18    484 2015-10-09 04:48:55 UTC+0000
.... 0x85a0d608:spoolsv.exe                          1216    524     12    345 2015-10-09 04:48:58 UTC+0000
.... 0x85c6b030:svchost.exe                           992    524     13    361 2015-10-09 04:49:09 UTC+0000
.... 0x86128258:taskhost.exe                         3652    524      8    197 2015-10-09 05:29:07 UTC+0000
.... 0x85967030:svchost.exe                           972    524     14    402 2015-10-09 04:48:56 UTC+0000
.... 0x84651030:svchost.exe                          2252    524      9    138 2015-10-09 04:50:59 UTC+0000
.... 0x859c6158:svchost.exe                          1108    524     26    714 2015-10-09 04:48:57 UTC+0000
..... 0x84017318:rdpclip.exe                         2504   1108      7    127 2015-10-09 12:12:55 UTC+0000
.... 0x85a1a030:svchost.exe                          1244    524     18    330 2015-10-09 04:48:58 UTC+0000
.... 0x85c121f8:msdtc.exe                             352    524     12    149 2015-10-09 04:49:07 UTC+0000
.... 0x85bc7708:sppsvc.exe                           2284    524      4    154 2015-10-09 04:51:00 UTC+0000
.... 0x83f796c8:SearchIndexer.                       2932    524     13    724 2015-10-09 05:41:33 UTC+0000
.... 0x85954440:svchost.exe                           888    524     34   1382 2015-10-09 04:48:55 UTC+0000
.... 0x8591bc88:svchost.exe                           724    524      6    303 2015-10-09 04:48:55 UTC+0000
... 0x858d31a0:lsass.exe                              532    428      9    863 2015-10-09 04:48:53 UTC+0000
... 0x84f435d0:lsm.exe                                540    428      9    245 2015-10-09 04:48:53 UTC+0000
.. 0x85545d40:csrss.exe                               368    360      9    536 2015-10-09 04:48:51 UTC+0000
 0x83f52030:chrome.exe                               3576    640     35    842 2015-10-09 05:32:20 UTC+0000
. 0x83eb9958:chrome.exe                              2432   3576      9    179 2015-10-09 05:55:42 UTC+0000
. 0x83fe0320:chrome.exe                              3040   3576      9    180 2015-10-09 05:57:23 UTC+0000
 0x84135a58:csrss.exe                                 520   1048      9     73 2015-10-09 12:12:54 UTC+0000
 0x840a5730:winlogon.exe                             1664   1048      3     94 2015-10-09 12:12:54 UTC+0000
. 0x83e97d40:LogonUI.exe                             3212   1664      6    177 2015-10-09 12:12:54 UTC+0000
 0x83d33290:System                                      4      0    102    517 2015-10-09 04:48:48 UTC+0000
. 0x84f33b70:smss.exe                                 276      4      3     33 2015-10-09 04:48:48 UTC+0000
 0x85870d40:csrss.exe                                 420    412     15    435 2015-10-09 04:48:52 UTC+0000
. 0x84a6d8f0:conhost.exe                             2888    420      2     50 2015-10-09 11:40:50 UTC+0000
. 0x8460e030:conhost.exe                             3048    420      2     50 2015-10-09 12:01:26 UTC+0000
 0x858a4360:winlogon.exe                              476    412      3    118 2015-10-09 04:48:52 UTC+0000
 0x841f0030:mmc.exe                                  2420   1648     16    399 2015-10-09 12:00:01 UTC+0000
