Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xfffffa8000e9a110:explorer.exe                     2664   2632     19    632 2019-12-14 10:36:29 UTC+0000
. 0xfffffa8000edcb30:VBoxTray.exe                    2792   2664     12    139 2019-12-14 10:36:30 UTC+0000
. 0xfffffa80022e5950:cmd.exe                         2096   2664      1     19 2019-12-14 10:36:35 UTC+0000
. 0xfffffa8002109b30:chrome.exe                      2296   2664     27    658 2019-12-14 10:36:45 UTC+0000
.. 0xfffffa8001cc7a90:chrome.exe                     2304   2296      8     71 2019-12-14 10:36:45 UTC+0000
.. 0xfffffa8000ea2b30:chrome.exe                     2964   2296     13    295 2019-12-14 10:36:47 UTC+0000
.. 0xfffffa8000fae6a0:chrome.exe                     2572   2296      8    177 2019-12-14 10:36:56 UTC+0000
.. 0xfffffa800230eb30:chrome.exe                     1632   2296     14    219 2019-12-14 10:37:12 UTC+0000
.. 0xfffffa8000eea7a0:chrome.exe                     2476   2296      2     55 2019-12-14 10:36:46 UTC+0000
 0xfffffa8001c5b2b0:wininit.exe                       424    312      3     75 2019-12-14 10:35:30 UTC+0000
. 0xfffffa8001c95320:services.exe                     484    424      8    206 2019-12-14 10:35:31 UTC+0000
.. 0xfffffa80020f2b30:taskhost.exe                   1928    484      9    154 2019-12-14 10:36:04 UTC+0000
.. 0xfffffa8001dacb30:svchost.exe                     876    484     39    962 2019-12-14 10:35:38 UTC+0000
... 0xfffffa8002105b30:taskeng.exe                   1996    876      5     79 2019-12-14 10:36:04 UTC+0000
.. 0xfffffa8001d13060:VBoxService.ex                  652    484     14    135 2019-12-14 10:35:36 UTC+0000
.. 0xfffffa8001e1eb30:svchost.exe                     472    484     12    301 2019-12-14 10:35:42 UTC+0000
.. 0xfffffa8001e47740:svchost.exe                    1044    484     16    361 2019-12-14 10:35:43 UTC+0000
.. 0xfffffa8001f7c060:TCPSVCS.EXE                    1412    484      4     97 2019-12-14 10:35:53 UTC+0000
.. 0xfffffa800100c060:WmiApSrv.exe                   2004    484      6    115 2019-12-14 10:37:05 UTC+0000
... 0xfffffa8002131340:explorer.exe                  1064   2004     37    989 2019-12-14 10:36:05 UTC+0000
.... 0xfffffa800224a8c0:KeePass.exe                  3008   1064     12    316 2019-12-14 10:37:56 UTC+0000
.... 0xfffffa80021c0b30:VBoxTray.exe                 1896   1064     13    138 2019-12-14 10:36:13 UTC+0000
.... 0xfffffa80011aa060:DumpIt.exe                   3844   1064      2     45 2019-12-14 10:38:43 UTC+0000
.. 0xfffffa8001d76320:svchost.exe                     812    484     21    474 2019-12-14 10:35:38 UTC+0000
... 0xfffffa8001df65f0:audiodg.exe                    268    812      7    131 2019-12-14 10:35:41 UTC+0000
.. 0xfffffa80010e5b30:svchost.exe                    1076    484     17    337 2019-12-14 10:38:02 UTC+0000
.. 0xfffffa8000cf9220:spoolsv.exe                    1208    484     13    279 2019-12-14 10:35:47 UTC+0000
.. 0xfffffa8002230b30:sppsvc.exe                     2764    484      5    151 2019-12-14 10:38:00 UTC+0000
