Session    WindowStation Format                         Handle Object             Data                                              
---------- ------------- ------------------ ------------------ ------------------ --------------------------------------------------
         2 WinSta0       CF_UNICODETEXT                    0x0 ------------------                                                   
         2 WinSta0       0x0L                             0x10 ------------------                                                   
         2 WinSta0       0x100ffL               0x200000000000 ------------------                                                   
         2 WinSta0       CF_TEXT                           0x1 ------------------                                                   
         1 WinSta0       CF_UNICODETEXT                    0x0 ------------------                                                   
         1 WinSta0       0x0L                             0x10 ------------------                                                   
         1 WinSta0       0x1010bL               0x200000000000 ------------------                                                   
         1 WinSta0       CF_TEXT                           0x1 ------------------                                                   
         1 ------------- ------------------            0x1010b 0xfffff900c1eb75c0                                                   
         2 ------------- ------------------            0x100ff 0xfffff900c1acd390                                                   
