Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000003e801070      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003e803b30      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DeviceCenter.dll
0x000000003e803c80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003e804070      2      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\runonce.exe
0x000000003e805b30     11      0 R--r-- \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Roaming\Microsoft\Windows\Themes\TranscodedWallpaper.jpg
0x000000003e807070     15      0 RW-rwd \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000003e807200     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e807550     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\DeviceCenter.dll.mui
0x000000003e809070      1      0 R--r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\AppData\Roaming\Microsoft\SoftwareProtectionPlatform\Cache\cache.dat
0x000000003e80a2d0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0x000000003e80aac0      2      1 ------ \Device\NamedPipe\MsFteWds
0x000000003e80af20      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\prnfldr.dll
0x000000003e80b620     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FXSSVC.exe
0x000000003e80c3a0     13      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\propsys.dll
0x000000003e815620      2      0 R--rwd \Device\HarddiskVolume2\$Recycle.Bin\S-1-5-21-3073570648-3149397540-2269648332-1003\desktop.ini
0x000000003e816e20     16      0 RW-rwd \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x000000003e817070      9      0 RW-rwd \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000003e817340      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003e817590     16      0 RW-rwd \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db
0x000000003e8177e0     16      0 RW-rwd \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db
0x000000003e817c50      9      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Google\Update\1.3.35.422\goopdate.dll
0x000000003e817e60      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003e818a80      1      1 ------ \Device\NamedPipe\samr
0x000000003e818bd0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x000000003e819070      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\IlsCache\imcrcache.xml
0x000000003e8193e0      2      1 ------ \Device\NamedPipe\srvsvc
0x000000003e819630      1      0 R--rwd \Device\HarddiskVolume2\Windows\assembly\Desktop.ini
0x000000003e819990      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\zipfldr.dll
0x000000003e819f20      1      0 R--rwd \Device\HarddiskVolume2\Users\SmartNet\Videos\desktop.ini
0x000000003e81a700      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e81c650      2      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Roaming\Microsoft\Windows\Libraries\desktop.ini
0x000000003e81d070      1      0 R--r-- \Device\HarddiskVolume2\Windows\System32\spp\plugin-manifests-signed\sppobjs-spp-plugin-manifest-signed.xrm-ms
