Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x0000000005def290      6      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000005df67f0      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000007d402680     14      0 R--r-d \Device\HarddiskVolume1\Nexon\MapleStory\l3codeca.acm
0x000000007d405270      1      1 R--r-- \Device\HarddiskVolume1\Users\Rick\AppData\Roaming\BitTorrent\dlimagecache\165F6EF40A81DD175FFAEA69E77ABFD30B27E71C
0x000000007d405d20      1      0 R--r-- \Device\HarddiskVolume1\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\DDA81A73291E20E6ACF6CACA76D5C942_4D9486FF3A1DA70CF6B67432FCEC9330
0x000000007d406510     16      0 R--r-d \Device\HarddiskVolume1\Windows\assembly\NativeImages_v2.0.50727_32\SMDiagnostics\8218dc4808b77f3585fb048c61597af1\SMDiagnostics.ni.dll
0x000000007d413930      1      0 R--r-- \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework64\v2.0.50727\CONFIG\machine.config
0x000000007d414dc0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\setupapi.dll.mui
0x000000007d418290     16      0 RWDr-- \Device\HarddiskVolume1\Windows\System32\Tasks\Microsoft\Windows Defender\MP Scheduled Scan
0x000000007d418f20      9      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\dinput8.dll
0x000000007d42b7b0      1      1 ------ \Device\Afd\Endpoint
0x000000007d42c5b0     12      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\hid.dll
0x000000007d42d070      7      0 R--r-d \Device\HarddiskVolume1\Windows\AppPatch\AcLayers.dll
0x000000007d42d3f0     14      0 R--r-d \Device\HarddiskVolume1\Windows\AppPatch\AcGenral.dll
0x000000007d42d540     11      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\SortServer2003Compat.dll
0x000000007d42dad0     13      0 R--rwd \Device\HarddiskVolume1\Windows\System32\srvcli.dll
0x000000007d42dc20     13      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\shunimpl.dll
0x000000007d42dd70     11      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\samcli.dll
0x000000007d436370     14      0 R--r-- \Device\HarddiskVolume1\Windows\Globalization\Sorting\SortServer2003Compat.nls
0x000000007d436550     13      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\sfc.dll
0x000000007d436770      2      1 R--rwd \Device\HarddiskVolume1\Users\Rick\AppData\Local\Microsoft\Windows\WER\ERC
0x000000007d436c80      6      0 R--r-d \Device\HarddiskVolume1\Users\Rick\AppData\Local\Temp\nstB409.tmp
0x000000007d436dd0      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\ntph.cat
0x000000007d436f20     12      0 R--r-d \Device\HarddiskVolume1\Users\Rick\AppData\Local\Temp\nstB3D5.tmp
0x000000007d43f180      8      1 R--r-- \Device\HarddiskVolume1\Nexon\MapleStory\Mob.wz
0x000000007d43fdd0     16      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll
0x000000007d440660      3      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007d440a80      1      1 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\en-US\setupapi.dll.mui
0x000000007d4413d0     13      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\icmp.dll
0x000000007d441f20      1      1 R--rwd \Device\HarddiskVolume1\Nexon\MapleStory
0x000000007d44a3e0     16      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\mf.dll.mui
0x000000007d44b420     12      0 R--rwd \Device\HarddiskVolume1\Windows\System32\IPHLPAPI.DLL
0x000000007d44b570      6      0 R--r-d \Device\HarddiskVolume1\Users\Rick\AppData\Local\Temp\nstB395.tmp
0x000000007d44bf20      8      0 R--r-d \Device\HarddiskVolume1\Nexon\MapleStory\nmconew.dll
0x000000007d44cd10      2      0 RW---- \Device\HarddiskVolume1\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\C46E7B0F942663A1EDC8D9D6D7869173_6043FC604A395E1485AF7AC16D16B7CE
0x000000007d44e520      2      0 RW-rw- \Device\HarddiskVolume1\Users\Rick\AppData\Roaming\Microsoft\Windows\Recent\Downloads.lnk
0x000000007d44e770      6      0 R--r-d \Device\HarddiskVolume1\Users\Rick\AppData\Local\Temp\nstB3F7.tmp
0x000000007d44e8c0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000007d44ea10      6      0 R--r-d \Device\HarddiskVolume1\Users\Rick\AppData\Local\Temp\nstB41B.tmp
0x000000007d44edd0      6      0 R--r-d \Device\HarddiskVolume1\Users\Rick\AppData\Local\Temp\nstB3F9.tmp
0x000000007d44ef20     11      0 R--r-d \Device\HarddiskVolume1\Nexon\MapleStory\ResMan.dll
0x000000007d44f070      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\MMDevAPI.dll
